gap_id,type,lineage_or_auth_gap_id,risk_tier,classification,priority_rank,recommended_action
nsgap-26596881d3ed,auth_gap,nsgap-26596881d3ed,CRITICAL,role_escalation,1,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b7eba1218d3b,auth_gap,nsgap-b7eba1218d3b,CRITICAL,role_escalation,2,CRITICAL: verify privilege escalation path and add authorization check
nsgap-19d5cdc0f24b,auth_gap,nsgap-19d5cdc0f24b,CRITICAL,role_escalation,3,CRITICAL: verify privilege escalation path and add authorization check
nsgap-4ad9c90d1b98,auth_gap,nsgap-4ad9c90d1b98,CRITICAL,role_escalation,4,CRITICAL: verify privilege escalation path and add authorization check
nsgap-ae0054ec97d2,auth_gap,nsgap-ae0054ec97d2,CRITICAL,role_escalation,5,CRITICAL: verify privilege escalation path and add authorization check
nsgap-08a9e2c7de67,auth_gap,nsgap-08a9e2c7de67,CRITICAL,role_escalation,6,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e7e52a798c32,auth_gap,nsgap-e7e52a798c32,CRITICAL,role_escalation,7,CRITICAL: verify privilege escalation path and add authorization check
nsgap-41a8b16dc469,auth_gap,nsgap-41a8b16dc469,CRITICAL,role_escalation,8,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d2c47d7149e1,auth_gap,nsgap-d2c47d7149e1,CRITICAL,role_escalation,9,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d77ac4d9c416,auth_gap,nsgap-d77ac4d9c416,CRITICAL,role_escalation,10,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0b19fcf899f1,auth_gap,nsgap-0b19fcf899f1,CRITICAL,role_escalation,11,CRITICAL: verify privilege escalation path and add authorization check
nsgap-083edbf6a972,auth_gap,nsgap-083edbf6a972,CRITICAL,role_escalation,12,CRITICAL: verify privilege escalation path and add authorization check
nsgap-ab4adb8fc724,auth_gap,nsgap-ab4adb8fc724,CRITICAL,role_escalation,13,CRITICAL: verify privilege escalation path and add authorization check
nsgap-34ab4debce0c,auth_gap,nsgap-34ab4debce0c,CRITICAL,role_escalation,14,CRITICAL: verify privilege escalation path and add authorization check
nsgap-11bce52b3c24,auth_gap,nsgap-11bce52b3c24,CRITICAL,role_escalation,15,CRITICAL: verify privilege escalation path and add authorization check
nsgap-498fed37e6bc,auth_gap,nsgap-498fed37e6bc,CRITICAL,role_escalation,16,CRITICAL: verify privilege escalation path and add authorization check
nsgap-25cf7ad01a8e,auth_gap,nsgap-25cf7ad01a8e,CRITICAL,role_escalation,17,CRITICAL: verify privilege escalation path and add authorization check
nsgap-8c73d094779d,auth_gap,nsgap-8c73d094779d,CRITICAL,role_escalation,18,CRITICAL: verify privilege escalation path and add authorization check
nsgap-880c8bdbe2fe,auth_gap,nsgap-880c8bdbe2fe,CRITICAL,role_escalation,19,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e8bf6a012aad,auth_gap,nsgap-e8bf6a012aad,CRITICAL,role_escalation,20,CRITICAL: verify privilege escalation path and add authorization check
nsgap-81d08805f8d8,auth_gap,nsgap-81d08805f8d8,CRITICAL,role_escalation,21,CRITICAL: verify privilege escalation path and add authorization check
