item_id,item_type,lineage_or_gap_id,evidence_summary,recommended_action,confidence_class,risk_tier,assigned_to
hr-cl-ec9489958,lineage_degraded_evidence,cl-ec9489958d53,CONFIRMED taint Review::Post::execute::$_POST['nickname'] → review_detail.nickname; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-03a3bdc1e,lineage_degraded_evidence,cl-03a3bdc1ee18,CONFIRMED taint Review::Post::execute::$_POST['title'] → review_detail.title; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-41f64c936,lineage_degraded_evidence,cl-41f64c936d1d,CONFIRMED taint Review::Post::execute::$_POST['detail'] → review_detail.detail; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-5613b3741,lineage_degraded_evidence,cl-5613b3741af0,CONFIRMED taint Newsletter\Subscriber\NewAction::execute::$_POST['email'] → newsletter_subscriber.subscriber_email; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-b7f861f63,lineage_degraded_evidence,cl-b7f861f63b15,CONFIRMED taint review_detail.nickname (re-entry) → list.phtml:71: echo escapeHtml($review->getNickname()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-89bc10ad3,lineage_degraded_evidence,cl-89bc10ad3bed,CONFIRMED taint review_detail.title (re-entry) → list.phtml:36: echo escapeHtml($review->getTitle()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-98727cebf,lineage_degraded_evidence,cl-98727cebf74d,CONFIRMED taint review_detail.detail (re-entry) → list.phtml:53: echo escapeHtml($review->getDetail()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-1cdbaf3ce,lineage_degraded_evidence,cl-1cdbaf3ce32b,CONFIRMED taint review_detail.detail (re-entry) → view.phtml:65: nl2br(escapeHtml($block->getReviewData()->getDetail())); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-b56893283,lineage_needs_confirmation,cl-b56893283457,"CRITICAL taint SearchTermsLog\Save::execute::$request->getParam('q') → search_query.query_text; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-ec1c852e6,lineage_needs_confirmation,cl-ec1c852e6bc4,"CRITICAL taint search_query.query_text (re-entry) → term.phtml:19: echo escapeHtml($_term->getQueryText()); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-bfe618b50,lineage_degraded_evidence,cl-bfe618b50bc3,CONFIRMED taint CouponPost::execute::$request->getParam('coupon_code') → quote.coupon_code; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-44bdcf942,lineage_degraded_evidence,cl-44bdcf942a2a,CONFIRMED taint quote.coupon_code (re-entry) → coupon.phtml:41: value=escapeHtmlAttr(getCouponCode()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-2848cfe8d,lineage_degraded_evidence,cl-2848cfe8d97f,CONFIRMED taint GuestShippingInformation::addressInformation.shippingAddress.firstname → quote_address.firstname; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
